epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,71.528,0.76084,0.63154,1.032,0.95438,0.99633,0.98864,0.82876,0.62292,0.43019,0.88925,0.0002972,0.0002972,0.0002972
88,72.2965,0.72076,0.62759,1.02971,0.94953,0.95238,0.98438,0.80325,0.67574,0.44552,0.91654,0.0002774,0.0002774,0.0002774
89,73.0201,0.68632,0.62759,0.99033,0.94953,0.95238,0.98438,0.81121,0.66873,0.43601,0.91356,0.0002576,0.0002576,0.0002576
90,73.7369,0.66843,0.61608,0.98152,0.94955,0.95238,0.98438,0.80317,0.65128,0.43725,0.90746,0.0002378,0.0002378,0.0002378
91,75.5001,0.6259,0.63019,0.95127,0.94939,0.95238,0.98286,0.80204,0.65592,0.44058,0.90771,0.000218,0.000218,0.000218
92,76.3834,0.59913,0.5949,0.92589,0.94865,0.95238,0.98286,0.80754,0.63076,0.45218,0.89922,0.0001982,0.0001982,0.0001982
93,77.1504,0.66594,0.58948,0.99107,0.94853,0.95238,0.98524,0.8081,0.62496,0.448,0.90123,0.0001784,0.0001784,0.0001784
94,77.8849,0.62124,0.56256,0.94589,0.94854,0.95238,0.98676,0.807,0.61867,0.4414,0.89811,0.0001586,0.0001586,0.0001586
95,78.6314,0.62439,0.58059,0.96547,0.94825,0.95238,0.98676,0.81705,0.60948,0.43763,0.89342,0.0001388,0.0001388,0.0001388
96,79.3926,0.6294,0.54379,0.96907,0.94833,0.95238,0.98676,0.82822,0.59946,0.41529,0.89101,0.000119,0.000119,0.000119
97,80.1212,0.58051,0.58798,0.94192,0.94832,0.95238,0.98676,0.83045,0.59738,0.40104,0.8915,9.92e-05,9.92e-05,9.92e-05
98,80.8697,0.60014,0.55327,0.95204,0.94838,0.95238,0.98676,0.83413,0.59909,0.39503,0.89239,7.94e-05,7.94e-05,7.94e-05
99,81.6208,0.57492,0.56066,0.94792,0.94857,0.95238,0.98676,0.83014,0.60323,0.39379,0.89033,5.96e-05,5.96e-05,5.96e-05
100,82.3792,0.5635,0.54175,0.92094,0.94865,0.95238,0.98676,0.82295,0.60659,0.39596,0.89052,3.98e-05,3.98e-05,3.98e-05
